dataset(wifi10 dis1air2) \ win_size 32*64*32,8,16
dis2pow9,0.992,
dis2pow16,0.982,
dis2pow23,0.994,
dis2pow31(________wifi backoff_),0.899,
dis2pow2(_____),0.76,
dis1pow16,0.985,
dis1pow9,0.994,
dis1pow,0.98,
dis10pow2,0.995,
dis10pow9,0.984,
dis10pow16,0.996,
dis15pow9,0.977,
dis15pow2(__),0.622,
dis15pow23,0.992,
